SO_N_HM [1/min],SO_M_VM [Nm],speed_step,M_HMmess [Nm],PA1_URMS_1_gMW [V],PA1_URMS_2_gMW [V],PA1_URMS_3_gMW [V],LEW_SO_T_P1 [°C],LEW_SO_Q_P1 [l/min],T_MOTOR [°C],T_Rotor [°C],average_voltage
300.0,0.0,1.0,-0.4183606468153847,9.73511411648539,9.721767248282214,9.723130674178849,20.0,8.0,21.0,0.0,9.726670679648818
500.0,0.0,2.0,-0.42666261260540533,16.191003413974332,16.227027468297297,16.215646936182434,20.0,8.0,21.0,0.0,16.211225939484688
800.0,0.0,3.0,-0.46292688777410695,25.967489710871416,25.940744378228576,25.931397577015172,20.0,8.0,21.0,0.0,25.946543888705055
1000.0,0.0,4.0,-0.48995042472857137,32.432866821768066,32.459426064690746,32.442846199488216,20.0,8.0,21.0,0.0,32.44504636198234
1500.0,0.0,5.0,-0.5465793348192982,48.65447463621407,48.66452505513421,48.711747817660516,20.0,8.0,21.0,0.0,48.67691583633626
2000.0,0.0,6.0,-0.6115218753941745,64.88509681775726,64.91188170127961,64.94930993015439,20.0,8.0,21.0,0.0,64.91542948306376
3000.0,0.0,7.0,-0.7414637041949997,97.31408588409427,97.37417952673576,97.47871198381078,20.0,8.0,21.0,0.0,97.38899246488027
4000.0,0.0,8.0,-0.8696946636773437,129.80443325286714,129.88210446357812,129.92362145543754,20.0,8.0,21.0,0.0,129.87005305729429
6000.0,0.0,9.0,-1.1600036621118113,194.72400756116522,194.91555804032282,194.94951876064573,20.0,8.0,22.0,0.0,194.86302812071122
8000.0,0.0,10.0,-1.4915788096388896,259.8600026928519,259.90198337695375,259.8155494435464,20.0,8.0,22.0,0.0,259.85917850445065
10000.0,0.0,11.0,-1.8633106321083326,324.8623745600333,324.9416037648417,324.8340308456418,20.0,8.0,22.0,0.0,324.8793363901723
