SO_N_HM [1/min],SO_M_VM [Nm],speed_step,N_HM [1/min],M_HMmess [Nm],PA1_P_1 [W],PA1_P_2 [W],PA1_P_4 [W],PA1_PM [W],Eff_Sys_WT [%],Eff_Motor_PA [%],Eff_DCtoAC_WT [%],T_MOTOR [°C],T_Rotor [°C],motor_loss [kW],motor_eff_motor_ge_80%,motor_eff_generator_eff_ge_80%,motor_eff_motor_eff_interval,motor_eff_motor_eff_interval_value,motor_eff_generator_eff_interval,motor_eff_generator_eff_interval_value,peu_eff_motor_ge_80%,peu_eff_generator_eff_ge_80%,peu_eff_motor_eff_interval,peu_eff_motor_eff_interval_value,peu_eff_generator_eff_interval,peu_eff_generator_eff_interval_value,sys_eff_motor_ge_80%,sys_eff_generator_eff_ge_80%,sys_eff_motor_eff_interval,sys_eff_motor_eff_interval_value,sys_eff_generator_eff_interval,sys_eff_generator_eff_interval_value,motor_motor_eff [%],peu_motor_eff [%],sys_motor_eff [%],motor_motor_speed [rpm],motor_motor_torque [Nm],motor_motor_loss [kW],motor_generator_eff [%],peu_generator_eff [%],sys_generator_eff [%],motor_generator_speed [rpm],motor_generator_torque [Nm],motor_generator_loss [kW],motor_motor_loss_max [kW],motor_generator_loss_max [kW],motor_max_eff [%],motor_max_eff_operator,generator_max_eff [%],generator_max_eff_operator
500.0,-295.0,436.0,500.00776960000013,-296.7791789,-2118.246157,-9142.363105,-7712.894214,-15538.418356597736,49.63757595524543,72.46946892261178,68.49446628103772,60.18,,4.277809094597736,1.8840440824149494,3.006802990935957,97%-100%,22.81%,97%-100%,21.66%,0.022999520843315767,1.6204208730835599,97%-100%,56.78%,97%-100%,55.58%,6.635361763296598,9.246514210912553,97%-100%,0.00%,97%-100%,0.00%,85.86957003771467,85.57624401079632,73.48395278649635,500.0,162.7200657,1.4019130597752956,72.46946892261178,68.49446628103772,49.63757595524543,500.0,-296.7791789,4.277809094597736,7.466134751732199,7.122756005543895,97.68903134878211,(6500.0 rpm; 95.0 Nm),97.582093044722,(6500.0 rpm; -115.0 Nm)
500.0,-290.0,422.0,499.9918845,-291.721226,-2097.083537,-8973.441626,-7670.209016,-15273.114715852396,50.22033264792331,72.48374263508668,69.28496076803506,61.1,,4.202589552852396,,,95%-100%,66.09%,95%-100%,69.82%,,,95%-100%,80.31%,95%-100%,78.95%,,,95%-100%,19.03%,95%-100%,14.34%,85.45044662693586,86.21747738920615,73.6732194995541,500.0,157.690239,1.4057133902015813,84.30659929622665,77.46548792771955,65.30851850008933,500.0,-155.18241930000005,1.2750624175608454,,,,,,
500.0,-285.0,408.0,499.9881592,-286.4607512,-2101.79664,-8843.768872,-7655.372708,-14997.589913668815,51.04401941956612,72.98216296755923,69.9404037151589,59.46,,4.052024401668814,,,90%-100%,89.15%,90%-100%,89.52%,,,90%-100%,94.84%,90%-100%,92.07%,,,90%-100%,73.91%,90%-100%,74.64%,86.33737783487577,85.77229418401264,74.05354970729215,500.0,152.84974509999995,1.2663537711107966,83.65880371632969,77.32318619982158,64.68765257012087,500.0,-160.1480257,1.3701930029721379,,,,,,
500.0,-280.0,394.0,500.0003294,-281.6942523,-2255.664757,-8699.314004,-7645.164962999998,-14748.399889014314,51.837250281602934,74.27910040030898,69.78712720299356,59.0,,3.7934211280143137,,,80%-100%,98.12%,80%-100%,96.99%,,,80%-100%,99.98%,80%-100%,98.38%,,,80%-100%,93.36%,80%-100%,90.75%,86.18526186881996,86.42938453117746,74.48939138980467,500.0,147.7887928,1.2402379799386472,83.59850928346707,76.73741563475332,64.15133553331196,500.0,-165.0548483,1.4173800168481685,,,,,,
500.0,-275.0,380.0,500.00712080000005,-276.3538742,-2190.235111,-8515.799636,-7574.749875,-14468.995283839518,52.35159543842184,73.99293825852314,70.75215104380793,59.69,,3.7629605368395187,,,70%-100%,99.75%,70%-100%,99.23%,,,70%-100%,100.00%,70%-100%,99.96%,,,70%-100%,98.74%,70%-100%,96.69%,86.61909011092506,86.32234526470927,74.77163003070238,500.0,142.7927971,1.1548792203940592,82.6284498555716,77.36240914016854,63.9233594434463,500.0,-170.24525119999996,1.5484347221001953,,,,,,
500.0,-270.0,368.0,500.0030429,-271.4702353,-2239.869135000001,-8384.934841,-7514.287537,-14213.18782269937,52.868417913954545,74.75313848334227,70.7240110403332,60.0,,3.588383846699369,,,60%-100%,100.00%,60%-100%,99.88%,,,60%-100%,100.00%,60%-100%,100.00%,,,60%-100%,99.89%,60%-100%,98.92%,86.86479880465285,86.3086857144653,74.97186619681042,500.0,137.7501259,1.090533187506313,82.95563521967479,76.20540952369365,63.2166815421346,500.0,-175.1706985,1.5632496240161153,,,,,,
500.0,-265.0,356.0,499.99819,-266.2286209,-2285.008804,-8168.210670999999,-7451.692595,-13938.62079331897,53.46075989506601,74.99464710317977,71.28610102200118,60.305,,3.4854013183189725,,,50%-100%,100.00%,50%-100%,100.00%,,,50%-100%,100.00%,50%-100%,100.00%,,,50%-100%,100.00%,50%-100%,99.87%,87.40613236208063,86.02995104442907,75.19545288092682,500.0,132.76152050000002,1.0015387359646375,81.90522736890686,76.59179322725154,62.73268238870339,500.0,-180.2698949,1.707824844084671,,,,,,
500.0,-260.0,344.0,500.0061826000001,-261.1756891,-2306.799331,-8055.923352,-7388.009675,-13674.288931394287,54.028474256077374,75.78253417776345,71.29409809566744,60.225,,3.311566248394287,,,0%-100%,100.00%,0%-100%,100.00%,,,0%-100%,100.00%,0%-100%,100.00%,,,0%-100%,100.00%,0%-100%,100.00%,87.81407049583689,85.9638614934745,75.48836593282327,500.0,127.6637908,0.9275175234407034,81.83735630982538,76.17897028193205,62.34285534278072,500.0,-185.4631424,1.7636521780882668,,,,,,
500.0,-255.0,332.0,499.9808775,-256.2717474,-2329.251198,-7919.6422269999985,-7338.368462,-13416.855826545585,54.695142862613565,76.38819077657753,71.60156865422768,60.0,,3.1679624015455867,,,,,,,,,,,,,,,,,,,87.78799099258705,86.2494157528101,75.71662933223587,500.0,122.6933277,0.8935685800573993,81.91937551660133,75.61826714229434,61.946012219442856,500.0,-190.5557771,1.8039050143864896,,,,,,
500.0,-250.0,320.0,499.9815295,-250.9663871,-2332.868094,-7774.0059569999985,-7259.290911,-13139.116028832152,55.249461950639535,76.92202450166148,71.82528321189228,60.0,,3.032241977832153,,,,,,,,,,,,,,,,,,,88.24334096047743,86.12946849513415,76.00352055160822,500.0,117.5258798,0.8198151294701301,81.31285559091415,75.3772937747058,61.29143003536566,500.0,-195.4517437,1.912348999427175,,,,,,
500.0,-245.0,308.0,499.9868442,-245.9910841,-2369.370211,-7549.301975,-7185.168489,-12878.775480680186,55.79077374070751,77.01564640892514,72.44083032748794,60.135,,2.960103294680186,,,,,,,,,,,,,,,,,,,88.20296159036496,86.44588766949303,76.247833097573,500.0,112.5035347,0.7878677431295927,80.1584313427765,75.7638442306443,60.73110906026914,500.0,-200.5777649,2.0837557544762766,,,,,,
500.0,-240.0,296.0,500.019612,-240.9446254,-2345.425718,-7414.448456999998,-7105.249784999999,-12615.396660313438,56.32204817905,77.36478239882396,72.80062895892816,60.82,,2.8555224853134407,,,,,,,,,,,,,,,,,,,88.70268976066123,86.30123228588462,76.55151433417583,500.0,107.3655759,0.7159032792569479,80.04257882014142,75.1857936729186,60.180648162194785,500.0,-205.4170358,2.1463879682690203,,,,,,
500.0,-235.0,284.0,499.9898491,-235.961446,-2350.065513,-7224.865215000002,-7034.354114,-12353.751599890868,56.94103574222863,77.50625913576395,73.46637081592053,60.14,,2.7788208718908662,,,,,,,,,,,,,,,,,,,88.89174028118329,86.09933308877949,76.53519555310876,500.0,102.7776397,0.6724805401766498,79.28067657019477,75.20199065982999,59.6206469893679,500.0,-210.4381898,2.28290455603979,,,,,,
500.0,-230.0,272.0,500.0087662,-230.8505325,-2329.892372,-7115.885,-6955.350894,-12086.62721800398,57.545837796994846,78.15064700539264,73.63449952375186,60.0,,2.640849846003979,,,,,,,,,,,,,,,,,,,89.36390923088435,86.21407591417378,77.04426854418797,500.0,97.16237217,0.6054837559278722,79.2746847317045,74.61169445842329,59.14818555489768,500.0,-215.6903788,2.340550781758382,,,,,,
500.0,-225.0,262.0,499.9848123,-225.6302273,-2301.452573,-6946.794016,-6856.460562,-11812.742078093906,58.04292108193013,78.29043018005426,74.13795140535261,60.61,,2.5644954890939062,,,,,,,,,,,,,,,,,,,89.22410997769626,86.58756614837469,77.25698524723633,500.0,92.12403458,0.582526745270593,84.62220558240107,77.71997251543262,65.76835492059499,500.0,-150.1638944,1.2090159070359987,,,,,,
500.0,-220.0,252.0,500.0102682,-220.7889031,-2339.2542,-6784.530947,-6800.581157,-11559.865827708356,58.829239528882624,78.92639311721763,74.5368402196111,59.0,,2.4360806807083555,,,,,,,,,,,,,,,,,,,90.0041565404276,86.08637509417989,77.48131579974536,500.0,87.06770351,0.5062423200340754,78.92639311721763,74.5368402196111,58.829239528882624,500.0,-220.7889031,2.4360806807083555,,,,,,
500.0,-215.0,242.0,500.0224699,-215.6903788,-2349.9803030000007,-6602.666396000001,-6679.721401,-11293.197480758385,59.14818555489768,79.2746847317045,74.61169445842329,60.33,,2.340550781758382,,,,,,,,,,,,,,,,,,,89.84552301103629,86.51959880777524,77.73398605589598,500.0,81.95159966,0.4849615141213999,78.15064700539264,73.63449952375186,57.545837796994846,500.0,-230.8505325,2.640849846003979,,,,,,
500.0,-210.0,232.0,500.0241719,-210.4381898,-2229.503092000001,-6505.831262,-6569.145325,-11018.23891003979,59.6206469893679,79.28067657019477,75.20199065982999,61.345,,2.28290455603979,,,,,,,,,,,,,,,,,,,90.65781649412222,86.03123610409244,77.99404015487313,500.0,76.89019581,0.41484940135483794,77.50625913576395,73.46637081592053,56.94103574222863,500.0,-235.961446,2.7788208718908662,,,,,,
